CASCADE CAPTURE LTD,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2661707 Alberta Ltd,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,CASCADE CAPTURE LTD.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
PROJECTED PROFORMA STATEMENTS OF FINANCIAL POSITION,,,,,,,,PROJECTED PROFORMA STATEMENTS OF INCOME,,,,,,,PROJECTED PROFORMA STATEMENTS OF CASHFLOW,,,,,
Unaudited,,,,,,,,Unaudited,,,,,,,Unaudited,,,,,
,,,,,,,,,,,,,,,,,,,,
"As at December 31, ",2025.0,2026.0,2027.0,2028.0,2029.0,,,"Projected for the 12 months ended December 31,",2025.0,2026.0,2027.0,2028.0,2029.0,,"Projected for the 12 months ended December 31,",2025,2026,2027,2028,2029
ASSETS,,,,,,,,Revenues,,,,,,,OPERATING ACTIVITIES,,,,,
Cash and cash equivalents,,,,,,,,,6996.9,8199.9,9428.6,10683.9,11966.5,,     Net income from operations,,,,,
Receivables ,0.0,0.0,0.0,0.0,0.0,,,,11318.7,17305.0,18975.0,22310.9,23269.0,,     Depletion and depreciation,,,,,
Prepaids and deposits,0.0,0.0,0.0,0.0,0.0,,,,18315.6,25504.9,28403.6,32994.8,35235.5,,     Accretion,81.83391119214727,82.48858248168446,83.14849114153792,83.81367907067022,84.48418850323557
Total Current Assets,,,,,,,,,-2631.8325,-3146.75625,-3661.68,-4176.60375,-4691.527499999999,,     Cash flow from operating activities,,,,,
"Property, Plant and Equipment, ",,,,,,,,,0.0,0.0,0.0,0.0,0.0,,     Change in non-cash operating working capital,,,,,
TOTAL ASSETS,,,,,,,,,-2631.8325,-3146.75625,-3661.68,-4176.60375,-4691.527499999999,, ,,,,,
,,,,,,,,Net Revenues,15683.767499999998,22358.143750000003,24741.92,28818.19625,30543.9725,,,,,,,
LIABILITIES AND EQUITY,,,,,,,,,,,,,,,INVESTING ACTIVITIES,,,,,
CURRENT LIABILITIES:,,,,,,,,Operating expenses *inflation adjusted,,,,,,,,-4100,-10550,-2775,-2450,-5100
Trade Payables,500.0,500.0,500.0,500.0,500.0,,,Facility operating costs,1618.3000000000002,2346.0,2392.9,2440.8,2489.6,,,0,-4440,0,0,0
Related Party Payables,451.0,451.0,451.0,451.0,451.0,,,Facility Maintenance,105.6,105.6,105.6,105.6,105.6,,,-1200,-60,-60,-60,0
Taxes Payable,,,,,,,,Major maintenance ,0.0,150.0,150.0,150.0,150.0,,     Cash flow from continuing investing activities,-5300,-15050,-2835,-2510,-5100
Accrued Liabilities,0.0,0.0,0.0,0.0,0.0,,,,3773.5,4518.5,4547.1,5169.3,5113.0,,,   ,,,,
,,,,,,,,Surface leases and taxes,0.0,0.0,0.0,0.0,0.0,,FINANCING ACTIVITIES,,,,,
Long term debt,15000.0,10000.0,5000.0,0.0,0.0,,,,5497.4,7120.1,7195.6,7865.700000000001,7858.2,,    Equity Financing,5000,0,0,0,0
Decommissioning Liability,10311.072810210555,10393.56139269224,10476.709883833777,10560.523562904447,10645.007751407682,,,Net Operating Income,10186.367499999998,15238.043750000003,17546.32,20952.49625,22685.7725,,    Debt Financing,15000,0,0,0,0
 ,,,,,,,,,,,,,,,    Repayment of Debt,0,-5000,-5000,-5000,0
EQUITY,,,,,,,,General Expenses,,,,,,,     Cash flow from continuing financing activities,20000,-5000,-5000,-5000,0
Share capital,5050.0,5050.0,5050.0,5050.0,5050.0,,,General and administrative expenses,526.7,526.7,526.7,526.7,526.7,,,   ,   ,   ,   ,   
Accumulated Results,-51.356,,,,,,,Interest expense,1650.0,1397.9166666666672,847.9166666666675,297.9166666666673,0.0,,Net (decrease) increase in cash and cash equivalents,,,,,
Net Income (Loss) for the period,,,,,,,,Depletion and depreciation,,,,,,,"Cash and cash equivalents, beginning of year",153,,,,
 ,,,,,,,,Asset retirment,2500.0,2500.0,5000.0,0.0,0.0,,"Cash and cash equivalents, end of period",,,,,
TOTAL LIABILITIES AND EQUITY,,,,,,,,Accretions of asset retirement obligation,81.83391119214727,82.48858248168446,83.14849114153792,83.81367907067022,84.48418850323557,,,,,,,
,,,,,,,, ,,,,,,,,,,,,
,,,,,,,,NET INCOME BEFORE TAXES,,,,,,,,,,,,
,,,,,,,,Income taxes,,,,,,,,,,,,
,,,,,,,,Potential purchase of tax pool*,,,,-1603.0,-84.0,,,,,,,
,,,,,,,,NET INCOME   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,* The Company may potentially have the use of approximately $22M in tax pools to shelter it's first,,,,,,,,,,,,
,,,,,,,,3 years of taxable income,,,,,,,,,,,,
